name,identifier,total,total_esta,total_otra,total_fuera,mujer,mujer_esta,mujer_otra,mujer_fuera,hombre,hombre_esta,hombre_otra,hombre_fuera,total_esta_p,total_otra_p,total_fuera_p,mujer_esta_p,mujer_otra_p,mujer_fuera_p,hombre_esta_p,hombre_otra_p,hombre_fuera_p,latitude,longitude
Buenos Aires,General Alvarado,45307,38561,5866,880,23309,19726,3107,476,21998,18835,2759,404,0.8511046858101398,0.1294722669786125,0.0194230472112477,0.8462825518040242,0.1332961517010596,0.0204212964949161,0.8562142012910264,0.1254204927720701,0.0183653059369033,-38.2026277127362,-58.0718053725136
Buenos Aires,General Alvear,10150,9464,608,78,5148,4788,312,48,5002,4676,296,30,0.9324137931034484,0.0599014778325123,0.0076847290640394,0.93006993006993,0.0606060606060606,0.0093240093240093,0.9348260695721712,0.0591763294682127,0.0059976009596161,-36.0347106495852,-60.1331531037654
Buenos Aires,General Arenales,16231,14211,1828,192,8311,7233,975,103,7920,6978,853,89,0.8755467931735568,0.1126239911280882,0.011829215698355,0.8702923835880159,0.1173144025989652,0.0123932138130188,0.8810606060606061,0.1077020202020202,0.0112373737373737,-34.2379020431362,-61.2833812257449
Buenos Aires,General Belgrano,20674,18561,1725,388,10695,9601,883,211,9979,8960,842,177,0.8977943310438231,0.0834381348553739,0.0187675341008029,0.8977092099111734,0.0825619448340345,0.0197288452547919,0.8978855596753181,0.0843771921034171,0.0177372482212646,-35.8346623469788,-58.6980799686583
Buenos Aires,General Guido,3157,2929,183,45,1585,1461,100,24,1572,1468,83,21,0.9277795375356352,0.0579664238200823,0.0142540386442825,0.9217665615141956,0.0630914826498422,0.0151419558359621,0.9338422391857506,0.0527989821882951,0.0133587786259541,-36.6660345415851,-57.9957365952016
Buenos Aires,General Juan Madariaga,22566,20692,1354,520,11750,10767,711,272,10816,9925,643,248,0.9169547106266064,0.060001772578215,0.0230435167951785,0.9163404255319147,0.0605106382978723,0.0231489361702127,0.9176220414201184,0.0594489644970414,0.0229289940828402,-37.1535157186092,-57.2306605949345
Buenos Aires,General La Madrid,11535,10846,576,113,5902,5515,314,73,5633,5331,262,40,0.940268747290854,0.0499349804941482,0.0097962722149978,0.9344290071162318,0.0532023043036258,0.0123686885801423,0.9463873601988284,0.0465116279069767,0.0071010118941949,-37.3561277769109,-61.3441308948924
Buenos Aires,General Las Heras,17980,15345,2298,337,9258,7871,1202,185,8722,7474,1096,152,0.853448275862069,0.1278086763070078,0.0187430478309232,0.8501836249729964,0.1298336573774033,0.0199827176496003,0.856913551937629,0.1256592524650309,0.01742719559734,-34.9094243780878,-58.9954466211925
Buenos Aires,General Lavalle,4846,4250,469,127,2451,2163,219,69,2395,2087,250,58,0.8770119686339248,0.0967808501857201,0.0262071811803549,0.8824969400244798,0.0893512851897184,0.0281517747858017,0.8713987473903967,0.104384133611691,0.0242171189979123,-36.650750377237,-56.9410029895247
Buenos Aires,General Paz,14141,12526,1361,254,7203,6368,694,141,6938,6158,667,113,0.8857930839403154,0.0962449614595856,0.017961954600099,0.8840760794113564,0.0963487435790642,0.0195751770095793,0.887575670221966,0.0961372153358316,0.0162871144422023,-35.466183010272,-58.389651959253
Buenos Aires,General Pinto,12842,11417,1267,158,6521,5788,663,70,6321,5629,604,88,0.8890359757047189,0.0986606447593832,0.0123033795358978,0.887593927311762,0.1016715227725808,0.0107345499156571,0.8905236513209935,0.0955545008701155,0.0139218478088909,-34.6696214541604,-62.0398536742269
Buenos Aires,General Pueyrredón,660569,550631,89994,19944,347783,287504,49057,11222,312786,263127,40937,8722,0.8335707549097823,0.1362370925671655,0.030192152523052,0.8266764045396123,0.1410563483551525,0.0322672471052351,0.8412365003548752,0.1308786198870793,0.0278848797580454,-37.9656831422541,-57.743028347627
Buenos Aires,General Rodríguez,142315,107075,21999,13241,72129,54021,11235,6873,70186,53054,10764,6368,0.7523802831746478,0.1545796296946913,0.0930400871306608,0.748949798278085,0.1557625920226261,0.0952876096992887,0.7559057361867039,0.1533639187302311,0.090730345083065,-34.6506156900812,-58.9878467982653
Buenos Aires,General San Martín,444503,324940,82769,36794,232456,167356,44394,20706,212047,157584,38375,16088,0.7310186882878181,0.1862057173967329,0.0827755943154489,0.7199470007227174,0.1909780775716694,0.0890749217056131,0.7431559984343094,0.1809740293425514,0.0758699722231392,-34.5527719180977,-58.5642821761285
Buenos Aires,General Viamonte,22530,19356,2589,585,11665,9962,1390,313,10865,9394,1199,272,0.859121171770972,0.1149134487350199,0.0259653794940079,0.8540077153879125,0.1191598799828547,0.0268324046292327,0.8646111366774045,0.1103543488265071,0.0250345144960883,-34.9977788912459,-61.0496572343522
