provincia,departamento,m202108,id
Misiones,Cainguás,75410.0,18.0
Misiones,Candelaria,78570.0,21.0
Misiones,Capital,95869.0,24.0
Misiones,Concepción,74832.0,357.0
Misiones,Eldorado,84189.0,25.0
Misiones,General Manuel Belgrano,77801.0,358.0
Misiones,Guaraní,69662.0,353.0
Misiones,Iguazú,82205.0,401.0
Misiones,Leandro N. Alem,82472.0,19.0
Misiones,Libertador General San Martín,83366.0,23.0
Misiones,Montecarlo,77595.0,22.0
Misiones,Oberá,76666.0,355.0
Misiones,San Ignacio,82051.0,359.0
Misiones,San Javier,79798.0,356.0
Misiones,San Pedro,74031.0,26.0
Neuquen,Aluminé,99290.0,462.0
Neuquen,Añelo,122307.0,466.0
Neuquen,Catán Lil,87012.0,460.0
Neuquen,Chos Malal,114410.0,471.0
Neuquen,Collón Curá,105189.0,458.0
Neuquen,Confluencia,136869.0,464.0
Neuquen,Huiliches,105652.0,459.0
Neuquen,Loncopué,99053.0,467.0
Neuquen,Los Lagos,100411.0,456.0
Neuquen,Lácar,105369.0,457.0
Neuquen,Minas,98539.0,470.0
Neuquen,Pehuenches,174266.0,469.0
Neuquen,Picunches,98646.0,465.0
Neuquen,Picún Leufú,103415.0,461.0
Neuquen,Zapala,112638.0,463.0
Neuquen,Ñorquín,81230.0,468.0
Rio Negro,25 de Mayo,85157.0,372.0
Rio Negro,9 de Julio,74257.0,370.0
Rio Negro,Adolfo Alsina,105596.0,443.0
Rio Negro,Avellaneda,83761.0,440.0
Rio Negro,Bariloche,96878.0,446.0
Rio Negro,Conesa,95752.0,291.0
Rio Negro,El Cuy,86824.0,376.0
Rio Negro,General Roca,110852.0,441.0
Rio Negro,Pichi Mahuida,97184.0,442.0
Rio Negro,Pilcaniyeu,76130.0,377.0
Rio Negro,San Antonio,111879.0,369.0
Rio Negro,Valcheta,82696.0,368.0
Rio Negro,Ñorquincó,73031.0,371.0
Salta,Anta,79452.0,427.0
Salta,Cachi,84424.0,205.0
Salta,Cafayate,76808.0,215.0
Salta,Capital,100669.0,204.0
Salta,Cerrillos,87883.0,206.0
Salta,Chicoana,75604.0,207.0
Salta,General Güemes,88042.0,217.0
Salta,General José de San Martín,93480.0,210.0
Salta,Guachipas,75485.0,214.0
Salta,Iruya,80678.0,424.0
Salta,La Candelaria,74689.0,213.0
Salta,La Poma,72683.0,422.0
Salta,La Viña,80865.0,208.0
Salta,Los Andes,90957.0,420.0
Salta,Metán,85864.0,212.0
Salta,Molinos,79749.0,216.0
Salta,Orán,83134.0,425.0
Salta,Rivadavia,85123.0,211.0
Salta,Rosario de Lerma,85510.0,219.0
Salta,Rosario de la Frontera,83952.0,431.0
Salta,San Carlos,75083.0,218.0
Salta,Santa Victoria,71191.0,209.0
San Juan,25 de Mayo,69852.0,203.0
San Juan,9 de Julio,207820.0,197.0
San Juan,Albardón,84313.0,191.0
San Juan,Angaco,70179.0,190.0
San Juan,Calingasta,86486.0,301.0
San Juan,Capital,103584.0,196.0
San Juan,Caucete,79846.0,201.0
San Juan,Chimbas,78581.0,193.0
San Juan,Iglesia,102715.0,435.0
San Juan,Jáchal,93548.0,202.0
San Juan,Pocito,74428.0,199.0
San Juan,Rawson,83472.0,198.0
San Juan,Rivadavia,95784.0,194.0
San Juan,San Martín,73688.0,200.0
San Juan,Santa Lucía,90724.0,195.0
San Juan,Sarmiento,72989.0,436.0
San Juan,Ullum,94490.0,189.0
San Juan,Valle Fértil,77702.0,434.0
San Juan,Zonda,70485.0,192.0
San Luis,Ayacucho,77821.0,187.0
San Luis,Belgrano,62461.0,455.0
San Luis,Chacabuco,80197.0,449.0
San Luis,Coronel Pringles,93108.0,453.0
San Luis,General Pedernera,99307.0,451.0
San Luis,Gobernador Dupuy,74624.0,188.0
San Luis,Juan Martín de Pueyrredón,88170.0,450.0
San Luis,Junín,77813.0,454.0
San Luis,Libertador General San Martín,64076.0,452.0
Santa Cruz,Corpen Aike,130618.0,289.0
Santa Cruz,Deseado,176185.0,290.0
Santa Cruz,Güer Aike,147388.0,514.0
Santa Cruz,Lago Argentino,109108.0,352.0
Santa Cruz,Lago Buenos Aires,172144.0,494.0
Santa Cruz,Magallanes,161693.0,288.0
Santa Cruz,Río Chico,164844.0,351.0
Santa Fe,9 de Julio,85524.0,415.0
Santa Fe,Belgrano,81804.0,413.0
Santa Fe,Caseros,86780.0,414.0
Santa Fe,Castellanos,100561.0,412.0
Santa Fe,Constitución,106962.0,419.0
Santa Fe,Garay,88531.0,409.0
Santa Fe,General López,91282.0,406.0
Santa Fe,General Obligado,87247.0,417.0
Santa Fe,Iriondo,91225.0,402.0
Santa Fe,La Capital,98191.0,418.0
Santa Fe,Las Colonias,95597.0,404.0
Santa Fe,Rosario,99958.0,407.0
Santa Fe,San Cristóbal,87855.0,492.0
Santa Fe,San Javier,82065.0,410.0
Santa Fe,San Jerónimo,90978.0,405.0
Santa Fe,San Justo,87890.0,403.0
Santa Fe,San Lorenzo,114267.0,408.0
Santa Fe,San Martín,88386.0,416.0
Santa Fe,Vera,86260.0,411.0
Santiago Del Estero,Aguirre,59397.0,528.0
Santiago Del Estero,Alberdi,55153.0,180.0
Santiago Del Estero,Atamisqui,50129.0,522.0
Santiago Del Estero,Avellaneda,54493.0,178.0
Santiago Del Estero,Banda,59351.0,515.0
Santiago Del Estero,Belgrano,65517.0,527.0
Santiago Del Estero,Capital,62157.0,517.0
Santiago Del Estero,Choya,62890.0,186.0
Santiago Del Estero,Copo,58277.0,429.0
Santiago Del Estero,Figueroa,48756.0,177.0
Santiago Del Estero,General Taboada,46604.0,183.0
Santiago Del Estero,Guasayán,50382.0,524.0
Santiago Del Estero,Jiménez,51353.0,525.0
Santiago Del Estero,Juan Felipe Ibarra,52556.0,182.0
Santiago Del Estero,Loreto,53596.0,523.0
Santiago Del Estero,Mitre,53535.0,520.0
Santiago Del Estero,Moreno,57942.0,181.0
Santiago Del Estero,Ojo de Agua,55869.0,185.0
Santiago Del Estero,Pellegrini,52659.0,176.0
Santiago Del Estero,Quebrachos,55725.0,526.0
Santiago Del Estero,Rivadavia,65240.0,184.0
Santiago Del Estero,Robles,58258.0,516.0
Santiago Del Estero,Río Hondo,58050.0,430.0
Santiago Del Estero,Salavina,51619.0,179.0
Santiago Del Estero,San Martín,46617.0,519.0
Santiago Del Estero,Sarmiento,53130.0,521.0
Santiago Del Estero,Silípica,52710.0,518.0
Tierra Del Fuego,Río Grande,133718.0,287.0
Tierra Del Fuego,Tolhuin,133718.0,600.0
Tierra Del Fuego,Ushuaia,132146.0,444.0
Tucuman,Burruyacú,44908.0,485.0
Tucuman,Capital,78072.0,482.0
Tucuman,Chicligasta,71424.0,476.0
Tucuman,Cruz Alta,57781.0,483.0
Tucuman,Famaillá,56872.0,481.0
Tucuman,Graneros,56972.0,473.0
Tucuman,Juan Bautista Alberdi,61542.0,474.0
Tucuman,La Cocha,51927.0,472.0
Tucuman,Leales,52245.0,480.0
Tucuman,Lules,62238.0,478.0
Tucuman,Monteros,57564.0,479.0
Tucuman,Río Chico,59284.0,475.0
Tucuman,Simoca,51215.0,477.0
Tucuman,Tafí Viejo,67517.0,486.0
Tucuman,Tafí del Valle,53401.0,487.0
Tucuman,Trancas,54469.0,490.0
Tucuman,Yerba Buena,89060.0,484.0
